user_id,device_model,operating_system,app_usage_time,screen_on_time,battery_drain,number_of_installed_apps,data_usage,age,gender,age_group
1,Google Pixel 5,Android,393,6.4,1872,67,1122,40,Male,Adults
2,OnePlus 9,Android,268,4.7,1331,42,944,47,Female,Adults
3,Xiaomi Mi 11,Android,154,4.0,761,32,322,42,Male,Adults
4,Google Pixel 5,Android,239,4.8,1676,56,871,20,Male,Youth
5,iPhone 12,iOS,187,4.3,1367,58,988,31,Female,Adults
6,Google Pixel 5,Android,99,2.0,940,35,564,31,Male,Adults
7,Samsung Galaxy S21,Android,350,7.3,1802,66,1054,21,Female,Youth
8,OnePlus 9,Android,543,11.4,2956,82,1702,31,Male,Adults
9,Samsung Galaxy S21,Android,340,7.7,2138,75,1053,42,Female,Adults
10,iPhone 12,iOS,424,6.6,1957,75,1301,42,Male,Adults
11,Google Pixel 5,Android,53,1.4,435,17,162,34,Female,Adults
12,OnePlus 9,Android,215,5.5,1690,47,641,24,Male,Youth
13,OnePlus 9,Android,462,6.2,2303,65,1099,57,Female,Adults
14,Xiaomi Mi 11,Android,215,4.9,1662,43,857,43,Male,Adults
15,iPhone 12,iOS,189,5.4,1754,53,779,49,Female,Adults
16,Google Pixel 5,Android,503,10.4,2571,84,2025,39,Female,Adults
17,OnePlus 9,Android,132,3.6,628,32,344,47,Female,Adults
18,iPhone 12,iOS,299,5.8,1431,41,985,44,Female,Adults
19,Google Pixel 5,Android,81,1.4,558,16,297,26,Female,Adults
20,iPhone 12,iOS,577,8.5,2774,89,2192,29,Female,Adults
21,Samsung Galaxy S21,Android,93,2.6,681,37,302,45,Female,Adults
22,OnePlus 9,Android,576,11.6,2803,82,1553,43,Female,Adults
23,Samsung Galaxy S21,Android,423,6.5,2094,65,1372,23,Female,Youth
24,Google Pixel 5,Android,292,5.6,1401,46,949,37,Female,Adults
25,OnePlus 9,Android,216,4.0,1711,59,748,58,Male,Adults
26,Samsung Galaxy S21,Android,91,3.4,1073,38,451,52,Male,Adults
27,iPhone 12,iOS,444,7.6,2372,77,1002,29,Male,Adults
28,Google Pixel 5,Android,512,10.5,2409,89,1599,33,Male,Adults
29,OnePlus 9,Android,452,6.8,2387,77,1456,55,Female,Adults
30,Samsung Galaxy S21,Android,412,6.2,1899,78,1384,19,Female,Youth
31,Xiaomi Mi 11,Android,260,6.0,1361,44,889,37,Female,Adults
32,Xiaomi Mi 11,Android,197,4.6,1660,59,975,25,Male,Adults
33,Google Pixel 5,Android,278,4.7,1484,55,917,21,Male,Youth
34,Google Pixel 5,Android,46,2.0,457,14,105,58,Male,Adults
35,Xiaomi Mi 11,Android,593,10.2,2499,81,1616,38,Female,Adults
36,Samsung Galaxy S21,Android,32,1.2,580,19,153,20,Female,Youth
37,iPhone 12,iOS,122,3.3,755,30,573,26,Male,Adults
38,Samsung Galaxy S21,Android,522,11.2,2808,93,2328,24,Male,Youth
39,OnePlus 9,Android,473,6.4,2312,74,1400,40,Male,Adults
40,Samsung Galaxy S21,Android,398,6.2,1851,77,1180,23,Male,Youth
41,Xiaomi Mi 11,Android,240,4.7,1464,52,708,56,Female,Adults
42,OnePlus 9,Android,576,10.1,2447,83,2323,33,Male,Adults
43,Samsung Galaxy S21,Android,120,2.1,720,39,392,43,Male,Adults
44,Samsung Galaxy S21,Android,152,3.7,993,32,429,18,Male,Youth
45,Xiaomi Mi 11,Android,138,2.4,837,21,572,56,Female,Adults
46,Xiaomi Mi 11,Android,502,10.9,2476,96,1935,39,Male,Adults
47,OnePlus 9,Android,558,8.4,2447,97,1594,22,Female,Youth
48,Samsung Galaxy S21,Android,138,3.6,889,25,323,27,Female,Adults
49,Google Pixel 5,Android,580,8.2,2623,90,2262,49,Male,Adults
50,OnePlus 9,Android,589,8.7,2736,82,1997,49,Male,Adults
51,Xiaomi Mi 11,Android,452,7.4,2180,61,1417,54,Female,Adults
52,Xiaomi Mi 11,Android,245,5.9,1243,52,885,29,Male,Adults
53,Samsung Galaxy S21,Android,125,2.7,690,28,393,27,Female,Adults
54,Xiaomi Mi 11,Android,97,2.2,1101,38,375,53,Male,Adults
55,Google Pixel 5,Android,516,8.7,2857,83,2189,53,Female,Adults
56,iPhone 12,iOS,68,1.6,450,14,111,30,Male,Adults
57,OnePlus 9,Android,64,1.1,572,10,161,42,Female,Adults
58,OnePlus 9,Android,539,8.4,2796,89,2415,26,Male,Adults
59,Xiaomi Mi 11,Android,428,7.0,2306,75,1144,22,Male,Youth
60,iPhone 12,iOS,325,7.1,2269,64,1053,56,Male,Adults
61,Xiaomi Mi 11,Android,522,11.9,2798,85,1663,28,Female,Adults
62,Xiaomi Mi 11,Android,309,7.5,2292,77,1253,57,Female,Adults
63,Xiaomi Mi 11,Android,79,1.9,493,14,128,55,Male,Adults
64,Xiaomi Mi 11,Android,545,11.5,2911,87,1717,21,Female,Youth
65,Samsung Galaxy S21,Android,459,7.0,1982,67,1091,43,Male,Adults
66,iPhone 12,iOS,225,4.0,1420,48,917,56,Male,Adults
67,iPhone 12,iOS,257,4.5,1705,57,912,55,Male,Adults
68,Xiaomi Mi 11,Android,134,4.0,773,35,449,28,Female,Adults
69,iPhone 12,iOS,516,10.2,2932,98,1547,31,Male,Adults
70,Google Pixel 5,Android,82,1.7,558,16,284,29,Female,Adults
71,Samsung Galaxy S21,Android,452,7.2,1808,64,1090,45,Female,Adults
72,iPhone 12,iOS,521,9.0,2902,97,1701,37,Male,Adults
73,Google Pixel 5,Android,457,6.3,2347,66,1082,22,Male,Youth
74,Xiaomi Mi 11,Android,31,1.1,585,11,208,50,Female,Adults
75,iPhone 12,iOS,47,2.0,476,14,125,39,Male,Adults
76,Xiaomi Mi 11,Android,229,5.7,1305,43,985,23,Female,Youth
77,Xiaomi Mi 11,Android,34,2.0,558,14,122,54,Female,Adults
78,Google Pixel 5,Android,173,2.5,678,29,301,30,Female,Adults
79,Samsung Galaxy S21,Android,78,1.8,333,17,138,51,Female,Adults
80,Google Pixel 5,Android,230,5.7,1254,52,989,34,Female,Adults
81,OnePlus 9,Android,565,10.6,2475,99,1603,51,Female,Adults
82,iPhone 12,iOS,172,2.8,1035,22,549,41,Male,Adults
83,Xiaomi Mi 11,Android,330,7.2,2363,77,1133,21,Female,Youth
84,Xiaomi Mi 11,Android,39,1.8,368,11,105,19,Male,Youth
85,Google Pixel 5,Android,223,4.5,1311,56,695,33,Female,Adults
86,Google Pixel 5,Android,404,7.4,2081,63,1352,44,Male,Adults
87,Samsung Galaxy S21,Android,151,2.4,1003,25,392,39,Male,Adults
88,Samsung Galaxy S21,Android,34,1.5,345,11,276,44,Male,Adults
89,Xiaomi Mi 11,Android,137,3.3,839,31,348,34,Female,Adults
90,Samsung Galaxy S21,Android,301,6.2,2053,75,1303,45,Male,Adults
91,Google Pixel 5,Android,116,2.1,912,39,307,40,Female,Adults
92,Google Pixel 5,Android,291,4.1,1474,46,827,32,Female,Adults
93,iPhone 12,iOS,84,1.4,501,16,284,56,Female,Adults
94,iPhone 12,iOS,134,2.5,1125,24,367,35,Male,Adults
95,Samsung Galaxy S21,Android,411,7.5,2169,72,1083,58,Male,Adults
96,Xiaomi Mi 11,Android,326,7.2,2243,73,1454,50,Male,Adults
97,iPhone 12,iOS,550,9.5,2916,91,1946,20,Male,Youth
